Date,Description,Amount
2026-09-07,UPI/DR/364841511522/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-266.94
2026-09-07,UPI/DR/246355568131/OLA/OKAX/ola@okaxis/Payment,-392.95
2026-09-08,UPI/DR/593160822676/SWIGGY/YESB/swiggy@ybl/Payment,-606.75
2026-09-08,UPI/DR/326584646298/SWIGGY/YESB/swiggy@ybl/Payment,-655.20
2026-09-08,ACT FIBERNET BROADBAND AUTOPAY,-1399.00
2026-09-09,UPI/DR/776620298327/SWIGGY/YESB/swiggy@ybl/Payment,-278.48
2026-09-09,UPI/DR/654487083021/ZOMATO/HDFC/zomato@hdfcbank/Payment,-684.42
2026-09-09,DISNEY+ HOTSTAR SUBSCRIPTION,-299.00
2026-09-10,UPI/DR/475373359088/SWIGGY/YESB/swiggy@ybl/Payment,-283.37
2026-09-10,DMART AVENUE SUPERMART BLR,-3097.64
2026-09-10,GOOGLE ONE STORAGE IN,-130.00
2026-09-11,AIRTEL POSTPAID BILL BBPS,-799.00
2026-09-12,UPI/DR/380274416502/SWIGGY/YESB/swiggy@ybl/Payment,-824.30
2026-09-12,UPI/DR/713079164157/OLA/OKAX/ola@okaxis/Payment,-349.64
2026-09-13,UPI/DR/773373357509/ZOMATO/HDFC/zomato@hdfcbank/Payment,-824.92
2026-09-14,UPI/DR/808604666545/ZOMATO/HDFC/zomato@hdfcbank/Payment,-688.54
2026-09-14,UPI/DR/970095147303/BLINKIT/ICIC/blinkit.rzp@icici/Order,-683.28
2026-09-14,UPI/DR/152170703703/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-401.26
2026-09-14,UPI/DR/128776229853/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-319.47
2026-09-14,NACH DR STAR HEALTH INSURANCE PREM,-2450.00
2026-09-15,UPI/DR/607127018892/ZOMATO/HDFC/zomato@hdfcbank/Payment,-720.76
2026-09-15,UPI/DR/857141077099/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-351.52
2026-09-15,NETFLIX.COM MUMBAI IN,-843.70
2026-09-15,NEFT-AXISP00456123-ACME SOFTWARE PVT LTD-SALARY CREDIT,142000.00
2026-09-16,UPI/DR/390904013291/OLA/OKAX/ola@okaxis/Payment,-385.53
2026-09-19,UPI/DR/431363544007/ZOMATO/HDFC/zomato@hdfcbank/Payment,-819.73
2026-09-20,UPI/DR/447339516533/ZOMATO/HDFC/zomato@hdfcbank/Payment,-730.63
2026-09-20,UPI/DR/258585557376/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-227.50
2026-09-20,SONYLIV PREMIUM SUBSCRIPTION,-299.00
